-0.471	-0.657	-0.411	13.036	0.092
-0.366	2.093	-0.047	8.493	-0.690
0.645	-1.665	0.876	8.886	0.019
0.406	0.528	1.531	5.018	-1.216
-0.961	0.448	0.574	9.415	-0.239
-0.275	-1.979	0.410	1.377	-0.004
-1.286	0.615	-0.902	16.247	-1.290
0.935	-0.678	2.028	3.682	-0.270
1.624	0.404	2.244	1.266	0.949
0.923	2.127	1.454	11.523	0.195
-0.571	0.309	0.995	13.119	2.509
0.975	-1.361	-0.590	19.264	-0.821
-2.235	-0.617	0.229	15.403	0.187
-0.647	-0.136	-0.652	7.173	-1.447
0.499	-0.304	0.387	7.867	0.408
-0.774	0.777	-0.725	0.631	-1.215
1.219	1.739	0.087	19.645	1.947
1.125	0.185	-0.411	9.040	0.761
0.741	1.045	-0.447	16.438	0.863
0.456	0.425	0.075	17.744	0.339
1.358	-2.099	-2.139	5.487	1.116
0.971	-0.845	-0.210	19.151	0.211
0.674	-0.623	0.896	1.108	0.138
-0.483	-0.535	-0.704	11.698	2.566
0.645	-0.366	-0.378	16.508	-0.880
-1.229	0.326	0.639	5.840	-0.747
-0.156	0.714	1.214	17.097	0.008
-1.223	0.105	-2.855	16.832	-0.104
0.095	-0.064	1.606	5.032	-0.840
0.538	0.568	-0.129	19.191	0.912
-1.985	-0.527	0.681	10.841	0.832
-1.551	-1.649	-0.338	16.366	0.812
0.954	-1.011	-0.516	11.735	0.206
-0.314	0.019	-1.355	10.048	0.411
1.550	-1.005	-0.359	8.288	-0.755
1.001	1.743	0.277	9.723	-0.794
1.135	-1.543	0.551	13.038	-0.286
0.407	0.020	-1.475	18.550	0.051
0.345	0.769	0.000	17.823	1.411
0.250	1.133	0.685	18.788	-0.185
0.772	-0.632	1.303	19.836	0.971
-1.292	2.332	-1.839	18.095	0.213
0.722	1.498	0.276	3.573	0.888
-1.577	0.227	-0.304	14.500	-0.090
-1.564	0.038	0.429	14.093	-0.464
1.368	-0.628	1.510	1.500	-1.071
0.221	-0.083	1.319	4.026	0.819
0.698	0.590	0.895	8.359	0.278
-0.009	0.862	0.501	16.325	-0.638
-0.819	-2.333	1.399	9.938	-2.263
-0.235	-0.004	-0.066	10.325	-0.672
-0.105	-0.076	-0.506	9.941	-0.784
-1.547	-1.343	1.192	15.919	1.160
-0.498	1.195	-0.336	5.654	0.763
-0.249	0.766	-0.880	4.548	-0.285
0.180	0.768	-0.271	16.931	-0.046
0.052	1.907	-0.180	18.264	-0.624
1.314	0.804	-1.991	4.323	-1.461
-1.244	0.328	0.301	15.893	0.494
-0.413	1.344	-0.079	13.592	-0.493
-0.036	1.260	-1.071	7.577	-0.462
-1.066	-0.106	-2.394	10.298	1.314
0.190	1.193	1.336	19.342	1.361
-0.027	-0.284	-1.720	18.110	0.779
0.209	-0.195	-1.572	13.677	0.643
-1.680	-0.453	0.249	19.930	0.461
0.816	0.497	0.018	9.211	1.865
-1.139	0.648	1.351	12.983	0.581
0.671	0.980	2.879	15.109	-0.048
-0.842	0.291	1.254	19.836	-0.272
1.257	-1.328	-0.340	17.609	-1.281
1.402	0.431	0.238	10.636	0.912
0.852	-1.032	-0.215	6.452	0.529
-0.378	0.914	-0.993	17.138	0.349
0.014	-0.914	-1.070	15.637	0.619
-0.381	0.676	-0.016	15.257	0.971
-0.866	-0.269	0.433	11.739	-0.477
0.280	-0.315	-0.468	8.682	-0.448
-2.752	-1.358	-0.079	10.171	0.694
0.666	-0.640	1.047	9.260	-1.028
-1.685	1.315	-0.026	14.783	0.142
-0.248	-1.053	-1.049	2.561	-1.808
0.851	-0.311	0.712	8.316	-0.682
0.022	-0.625	0.748	0.522	-1.174
0.810	-1.931	-0.215	4.822	-0.811
-1.679	1.192	0.588	17.890	1.169
0.253	-0.625	1.200	3.721	1.291
-0.247	0.182	-0.439	2.646	-0.280
-1.506	-0.739	0.290	6.299	0.550
-0.840	0.956	1.438	3.710	-0.479
1.684	2.107	0.577	9.505	-1.051
1.482	0.708	0.114	5.425	-0.557
1.298	-0.518	0.004	14.904	-0.249
1.058	0.077	-0.227	10.887	-0.782
-1.390	1.344	-0.431	11.727	-0.978
0.346	0.648	-0.795	19.897	0.175
-0.825	0.514	1.437	4.847	-0.169
2.138	-0.522	-0.824	5.309	-0.044
-0.129	0.587	-1.299	2.580	-1.129
-1.258	-0.575	-0.810	7.211	0.216
-0.193	0.246	-1.774	16.190	-1.049
0.825	0.527	-0.102	2.417	-0.235
-0.881	1.130	1.444	6.562	-0.062
-0.575	-0.701	-0.318	0.123	-0.167
-1.479	0.872	1.332	14.654	-1.309
-1.650	0.327	1.227	8.517	-0.243
-0.193	-0.038	0.082	12.430	-0.065
-0.703	-0.061	-2.123	12.039	-0.249
1.254	-0.060	0.599	3.432	0.107
0.680	-0.873	-1.380	2.155	0.953
-1.588	2.462	0.241	14.307	0.339
-2.017	0.797	0.679	16.381	-2.574
0.567	1.523	-1.209	11.970	0.755
0.943	0.240	0.333	18.281	-0.880
-0.724	1.028	-0.541	18.551	1.237
-0.745	0.580	2.322	17.039	-0.275
1.130	1.023	-0.300	14.986	0.346
0.181	0.726	0.356	10.036	-0.263
-0.858	-0.691	0.018	11.430	-0.520
-0.530	0.339	-0.054	17.175	-0.107
0.771	-0.298	-1.510	3.566	0.413
-1.871	0.339	-0.465	6.489	1.032
-0.092	-0.058	-0.335	4.886	-0.286
0.620	-0.728	0.886	17.149	-0.357
0.118	-0.437	0.708	15.720	-0.042
9.776	6.487	4.872	4.529	5.564
5.376	5.075	4.313	4.502	4.556
2.981	4.825	5.159	5.535	3.824
2.939	5.058	3.186	5.803	6.023
9.912	2.960	4.952	5.744	4.605
7.889	5.180	6.347	3.578	2.141
